transaction_id,card_id,merchant_name,timestamp,amount,location,transaction_type,related_transaction_id
1,42,Huffman LLC,2025-04-01 01:00:02,328.34,"663 Christine Burg, Yonkers, NY 10947",p2p_transfer,
2,23,Stephens and Sons,2025-04-01 01:09:37,238.74,"334 Valenzuela Mill, Bronx, NY 13668",purchase,
3,11,"Benson, Young and Gonzalez",2025-04-01 01:13:01,136.1,"1467 Bennett Court, New York, NY 16144",bill_payment,
4,4,Davis-Chan,2025-04-01 01:22:13,-17.73,"613 Jordan Island, Binghamton, NY 18066",refund,
5,51,Davis Inc,2025-04-01 01:49:13,466.55,"7087 Snyder Green, Brooklyn, NY 18937",bill_payment,
6,7,"Dixon, Oconnor and Foley",2025-04-01 02:00:55,76.12,"1530 Judy Locks, Syracuse, NY 12199",purchase,
7,7,"Colon, Johnson and Jacobs",2025-04-01 02:06:52,381.65,"7751 Amber Course, Cheektowaga, NY 13229",bill_payment,
8,47,Hughes LLC,2025-04-01 02:07:04,-313.97,"7404 Morris Loaf, Troy, NY 11947",refund,
9,31,Mcdonald Group,2025-04-01 02:08:27,-404.52,"1175 Sheryl Point, Bronx, NY 12367",refund,
10,7,"Oconnell, Lewis and Vargas",2025-04-01 02:23:34,-402.11,"9446 Rivera Knolls, Yonkers, NY 17928",refund,
11,2,"Colon, Lewis and Ballard",2025-04-01 02:24:31,-173.85,"6001 Smith Mountain, Rochester, NY 14506",refund,
12,7,Adams Inc,2025-04-01 02:40:27,50.71,"3172 Carney Gardens, Staten Island, NY 19454",atm_withdrawal,
13,22,Brandt-Gutierrez,2025-04-01 02:44:27,325.25,"1279 Webb Courts, Cheektowaga, NY 12604",wire_transfer,
14,44,"Barnes, Shelton and Oneill",2025-04-01 02:59:24,246.1,"7985 Matthew Valley, Schenectady, NY 17339",wire_transfer,
15,31,"Hurst, Weber and Perry",2025-04-01 03:28:53,128.74,"6413 Victoria Curve, Yonkers, NY 18222",wire_transfer,
16,12,"Jimenez, Perez and Jones",2025-04-01 03:28:54,211.0,"1848 Amy Crossroad, Albany, NY 11213",bill_payment,
17,2,"Bean, Small and Hensley",2025-04-01 03:34:27,198.59,"6501 Adam Islands, Utica, NY 10764",atm_withdrawal,
18,22,Wall-Young,2025-04-01 03:46:12,-265.34,"2319 Holloway Crossing, Buffalo, NY 10595",refund,
19,39,Johnson Inc,2025-04-01 03:50:42,-98.38,"3534 Scott Trail, Troy, NY 17672",refund,
20,51,Love-Vincent,2025-04-01 03:51:45,5602.5,"4184 Miller Loaf, Troy, NY 18837",wire_transfer,
21,44,Wilson and Sons,2025-04-01 03:56:21,281.71,"1791 Timothy Ridges, Niagara Falls, NY 10103",purchase,
22,21,"Smith, Jordan and Stewart",2025-04-01 03:56:46,-106.86,"7112 Kristina Forest, Rochester, NY 14788",refund,
23,18,Copeland PLC,2025-04-01 04:08:43,-491.48,"9291 Johnson Drive, Owensbury, CT 09177",refund,
24,22,Smith-Sanchez,2025-04-01 04:48:30,385.05,"4560 Huff Stravenue, New York, NY 16004",purchase,
25,19,Rice-Lambert,2025-04-01 04:50:25,-361.47,"5223 Toni Rue, Cheektowaga, NY 11406",refund,
26,35,"Taylor, Bowman and Hess",2025-04-01 04:51:01,-364.97,"9825 Stephanie Parkway, Buffalo, NY 13615",refund,
27,25,Johnson-Mitchell,2025-04-01 04:53:00,-304.65,"1027 Gerald Orchard, Staten Island, NY 18189",refund,
28,12,Long Inc,2025-04-01 05:04:42,38.18,"9302 Leslie Fall, Staten Island, NY 16418",atm_withdrawal,
29,24,Wang PLC,2025-04-01 05:05:44,109.73,"5500 Adam Rapid, Brooklyn, NY 13383",wire_transfer,
30,31,"Wheeler, Hogan and Sanchez",2025-04-01 05:18:54,-139.72,"1366 Bonnie Neck, Staten Island, NY 16086",refund,
31,28,Zuniga-Sanchez,2025-04-01 05:42:19,462.04,"6627 Christian Prairie, Buffalo, NY 14831",wire_transfer,
32,46,Kerr and Sons,2025-04-01 05:58:11,82.75,"7189 Sara Land, Rochester, NY 13040",bill_payment,
33,35,Marks-Dunn,2025-04-01 06:01:25,139.94,"7699 Donald Mission, Port Margaretland, PA 17797",atm_withdrawal,
34,10,"Gamble, Hughes and Trevino",2025-04-01 06:15:35,39.24,"7351 Jackson Road, Queens, NY 14032",atm_withdrawal,
35,18,George PLC,2025-04-01 06:28:09,127.82,"6972 Stephen Gateway, Foleychester, VT 03398",p2p_transfer,
36,9,Frazier-Evans,2025-04-01 06:28:22,35.15,"5657 Edwards Brooks, Troy, NY 11049",purchase,
37,21,Weber-Butler,2025-04-01 06:53:52,296.6,"1680 Jason Orchard, Jimmyport, PA 19766",purchase,
38,31,Barnett and Sons,2025-04-01 06:54:06,140.32,"2821 Jon Rapid, Niagara Falls, NY 13816",atm_withdrawal,
39,29,"Wood, Shepard and Reese",2025-04-01 07:26:35,3671.1,"127 Bradford Roads, Cheektowaga, NY 15635",purchase,
40,30,Henderson LLC,2025-04-01 07:53:09,-39.45,"8493 Wagner Courts, Staten Island, NY 18950",refund,
